Country,team_Name,team_ID,domestic_League_Name,domestic_League_ID,national_Cup_Name,national_Cup_ID,league_Cup_Name,league_Cup_ID
Albania,KF Tirana,134562,Albanian Superliga,4361,Albanian Cup,4457,,
Albania,Partizani Tirana,134563,Albanian Superliga,4361,Albanian Cup,4457,,
Albania,Vllaznia Shkoder,134564,Albanian Superliga,4361,Albanian Cup,4457,,
Albania,Teuta Durrës,134565,Albanian Superliga,4361,Albanian Cup,4457,,
Albania,Flamurtari Vlorë,134566,Albanian Superliga,4361,Albanian Cup,4457,,
Albania,Skënderbeu Korçë,134567,Albanian Superliga,4361,Albanian Cup,4457,,
Albania,Laçi,134568,Albanian Superliga,4361,Albanian Cup,4457,,
Albania,Bylis Ballsh,134569,Albanian Superliga,4361,Albanian Cup,4457,,
Albania,Kastrioti Krujë,134570,Albanian Superliga,4361,Albanian Cup,4457,,
Albania,Apollonia Fier,134571,Albanian Superliga,4361,Albanian Cup,4457,,
Albania,Teuta Durrës,134572,Albanian Superliga,4361,Albanian Cup,4457,,
Albania,Flamurtari Vlorë,134573,Albanian Superliga,4361,Albanian Cup,4457,,
Albania,Skënderbeu Korçë,134574,Albanian Superliga,4361,Albanian Cup,4457,,
Albania,Laçi,134575,Albanian Superliga,4361,Albanian Cup,4457,,
Albania,Bylis Ballsh,134576,Albanian Superliga,4361,Albanian Cup,4457,,
Albania,Kastrioti Krujë,134577,Albanian Superliga,4361,Albanian Cup,4457,,
Albania,Apollonia Fier,134578,Albanian Superliga,4361,Albanian Cup,4457,,
Armenia,FC Ararat-Armenia,134613,Armenian Premier League,4364,Armenian Cup,4460,,   
Armenia,FC Alashkert,134614,Armenian Premier League,4364,Armenian Cup,4460,,
Armenia,FC Pyunik,134615,Armenian Premier League,4364,Armenian Cup,4460,,
Armenia,FC Noah,134616,Armenian Premier League,4364,Armenian Cup,4460,,
Armenia,FC Urartu,134617,Armenian Premier League,4364,Armenian Cup,4460,,
